Error parsing query: 
join tree:
beers -> locations

Q_locations =: q_locations
set Q_locations
 to
+------+------+----------+----------+--------------------+
| u4   | v    | y        | z        | w                  |
| 30   | 32   | 41.7605  | -88.309  | ROOFTOP            |
| 31   | 33   | 38.8966  | -121.077 | APPROXIMATE        |
| 32   | 34   | 39.1551  | -94.482  | RANGE_INTERPOLATED |
| 33   | 35   | 42.3763  | -72.5199 | RANGE_INTERPOLATED |
| 34   | 36   | 38.535   | -105.992 | ROOFTOP            |
| 35   | 37   | 52.3738  | 4.8909   | APPROXIMATE        |
| 36   | 38   | 48.5193  | -122.613 | RANGE_INTERPOLATED |
| 37   | 39   | 37.7635  | -122.401 | ROOFTOP            |
| 38   | 40   | 47.9775  | 11.185   | ROOFTOP            |
| 39   | 41   | 39.0014  | -123.356 | ROOFTOP            |
| 40   | 42   | 44.3516  | -69.1401 | RANGE_INTERPOLATED |
| 41   | 43   | 43.0785  | -89.382  | APPROXIMATE        |
| 42   | 44   | 38.5983  | -90.209  | RANGE_INTERPOLATED |
| 43   | 45   | 40.2659  | -76.8753 | ROOFTOP            |
| 44   | 46   | 44.2619  | -88.4154 | APPROXIMATE        |
| 45   | 47   | 42.322   | -85.1851 | RANGE_INTERPOLATED |
| 46   | 49   | 53.3433  | -6.2846  | APPROXIMATE        |
| 47   | 51   | 35.6221  | -82.5536 | ROOFTOP            |
| 48   | 54   | 33.818   | -84.4353 | ROOFTOP            |
| 49   | 55   | 44.3996  | -68.334  | ROOFTOP            |
| 50   | 56   | 42.3372  | -83.0186 | ROOFTOP            |
| 51   | 57   | 44.2896  | -94.449  | RANGE_INTERPOLATED |
| 52   | 58   | 44.2896  | -94.449  | RANGE_INTERPOLATED |
| 53   | 59   | 38.5702  | -90.8802 | RANGE_INTERPOLATED |
| 54   | 61   | -37.968  | 144.525  | ROOFTOP            |
| 55   | 62   | 40.0166  | -105.219 | ROOFTOP            |
| 56   | 1394 | 35.6197  | -78.8085 | ROOFTOP            |
| 58   | 63   | 41.6124  | -86.7268 | RANGE_INTERPOLATED |
| 59   | 64   | 39.5765  | -106.094 | RANGE_INTERPOLATED |
| 60   | 65   | 44.0486  | -91.6774 | RANGE_INTERPOLATED |
| 61   | 66   | 44.4214  | -84.1167 | APPROXIMATE        |
| 62   | 68   | 32.7668  | -117.195 | ROOFTOP            |
| 63   | 69   | 39.42    | -76.54   | APPROXIMATE        |
| 64   | 70   | 49.8901  | 10.9067  | ROOFTOP            |
| 65   | 71   | 44.1636  | -93.9994 | APPROXIMATE        |
| 66   | 72   | 44.3875  | -68.2046 | RANGE_INTERPOLATED |
| 67   | 73   | 38.9169  | -94.3943 | ROOFTOP            |
| 68   | 74   | 48.3979  | 9.9899   | ROOFTOP            |
| 69   | 75   | 34.4702  | -114.35  | RANGE_INTERPOLATED |
| 70   | 76   | 41.0523  | -75.3354 | APPROXIMATE        |
| 71   | 77   | 40.0453  | -86.0155 | ROOFTOP            |
| 72   | 78   | 45.036   | -93.1984 | ROOFTOP            |
| 73   | 79   | 39.9745  | -83.049  | ROOFTOP            |
| 74   | 80   | 39.9719  | -83.0027 | ROOFTOP            |
| 75   | 81   | 36.0721  | -115.075 | ROOFTOP            |
| 76   | 82   | 47.5203  | -122.312 | RANGE_INTERPOLATED |
| 77   | 83   | 39.1136  | -84.526  | RANGE_INTERPOLATED |
| 78   | 84   | 39.9767  | -74.1829 | RANGE_INTERPOLATED |
| 79   | 85   | 52.8046  | -1.6281  | RANGE_INTERPOLATED |
| 80   | 86   | 10.9639  | -74.7964 | APPROXIMATE        |
| 81   | 87   | 41.238   | -77.0103 | RANGE_INTERPOLATED |
| 82   | 1393 | 44.1004  | -70.2148 | APPROXIMATE        |
| 83   | 88   | 48.3952  | 11.7288  | ROOFTOP            |
| 84   | 89   | 46.8726  | -114.02  | ROOFTOP            |
| 85   | 90   | 38.2546  | -85.7401 | ROOFTOP            |
| 86   | 91   | 28.5383  | -81.3792 | APPROXIMATE        |
| 87   | 92   | 37.7694  | -122.51  | ROOFTOP            |
| 88   | 93   | 51.897   | -8.4769  | GEOMETRIC_CENTER   |
| 89   | 94   | 38.6112  | -122.871 | RANGE_INTERPOLATED |
| 90   | 96   | 38.8916  | -121.293 | APPROXIMATE        |
| 91   | 97   | 44.4295  | -68.975  | RANGE_INTERPOLATED |
| 92   | 98   | 55.997   | -2.5098  | GEOMETRIC_CENTER   |
| 93   | 99   | 17.4977  | -88.1867 | APPROXIMATE        |
| 94   | 100  | 42.2843  | -85.4538 | ROOFTOP            |
| 95   | 101  | 43.1947  | -88.729  | APPROXIMATE        |
| 96   | 102  | 41.5059  | -90.5171 | RANGE_INTERPOLATED |
| 97   | 103  | 52.4793  | 13.4293  | ROOFTOP            |
| 98   | 104  | 52.5234  | 13.4114  | APPROXIMATE        |
| 99   | 106  | 40.622   | -75.382  | RANGE_INTERPOLATED |
| 100  | 107  | 40.1106  | -88.2073 | APPROXIMATE        |
| 101  | 108  | 32.3293  | -96.6253 | APPROXIMATE        |
| 102  | 109  | 51.5163  | 5.5977   | RANGE_INTERPOLATED |
| 103  | 110  | 51.544   | 5.1285   | RANGE_INTERPOLATED |
| 104  | 111  | 51.1684  | 6.0515   | RANGE_INTERPOLATED |
| 105  | 112  | 37.7756  | -122.398 | ROOFTOP            |
| 106  | 113  | 35.8104  | -78.6179 | ROOFTOP            |
| 107  | 114  | 45.0223  | -84.6826 | GEOMETRIC_CENTER   |
| 108  | 115  | 42.9634  | -85.6681 | APPROXIMATE        |
| 109  | 116  | 36.2426  | -115.236 | ROOFTOP            |
| 110  | 117  | 45.7736  | -111.172 | RANGE_INTERPOLATED |
| 111  | 118  | 42.1511  | -87.9144 | ROOFTOP            |
| 112  | 119  | 49.1049  | -122.69  | APPROXIMATE        |
| 113  | 120  | 49.1344  | -123.065 | ROOFTOP            |
| 114  | 121  | 50.9847  | -113.956 | ROOFTOP            |
| 115  | 122  | 46.9223  | -114.073 | ROOFTOP            |
| 116  | 123  | 47.6576  | -122.313 | ROOFTOP            |
| 117  | 124  | 45.8981  | -123.961 | ROOFTOP            |
| 118  | 125  | 50.0943  | 8.6913   | ROOFTOP            |
| 119  | 127  | 46.0597  | 13.2269  | RANGE_INTERPOLATED |
| 120  | 128  | 44.5153  | 7.8922   | RANGE_INTERPOLATED |
| 121  | 129  | 44.6601  | 10.2814  | RANGE_INTERPOLATED |
| 122  | 130  | 37.8634  | -122.259 | ROOFTOP            |
| 123  | 131  | 49.974   | 6.5227   | APPROXIMATE        |
| 124  | 132  | 45.5235  | -122.676 | APPROXIMATE        |
| 125  | 133  | 33.9132  | -117.889 | ROOFTOP            |
| 126  | 135  | 41.8817  | -87.6926 | APPROXIMATE        |
| 127  | 136  | 37.23    | -80.41   | APPROXIMATE        |
| 128  | 137  | 36.152   | -86.7989 | ROOFTOP            |
| 129  | 138  | 38.8339  | -104.821 | APPROXIMATE        |
| 130  | 139  | 45.5325  | -122.686 | APPROXIMATE        |
| 131  | 140  | 39.1716  | -86.5104 | RANGE_INTERPOLATED |
| 132  | 141  | 43.0598  | -89.3085 | ROOFTOP            |
| 133  | 142  | 41.5118  | -90.5746 | RANGE_INTERPOLATED |
| 134  | 143  | 35.0845  | -106.651 | APPROXIMATE        |
| 135  | 144  | 40.7591  | -73.0215 | ROOFTOP            |
| 136  | 145  | 34.8531  | -82.3983 | ROOFTOP            |
| 137  | 146  | 38.253   | -85.654  | ROOFTOP            |
| 138  | 147  | 44.1332  | -73.0784 | RANGE_INTERPOLATED |
| 139  | 148  | 53.4807  | -2.2344  | APPROXIMATE        |
| 140  | 149  | 35.1584  | -114.573 | ROOFTOP            |
| 141  | 150  | 34.0532  | -118.256 | ROOFTOP            |
| 142  | 151  | 42.4311  | -83.4833 | APPROXIMATE        |
| 143  | 152  | 13.7783  | 100.509  | GEOMETRIC_CENTER   |
| 144  | 153  | 35.3733  | -119.019 | APPROXIMATE        |
| 145  | 155  | 35.0868  | -89.8101 | APPROXIMATE        |
| 146  | 156  | 52.6739  | 14.9004  | RANGE_INTERPOLATED |
| 147  | 157  | 42.3144  | -71.1034 | ROOFTOP            |
| 148  | 158  | 42.347   | -71.0989 | ROOFTOP            |
| 149  | 159  | 42.8666  | -109.866 | RANGE_INTERPOLATED |
| 150  | 160  | 40.0267  | -105.248 | ROOFTOP            |
| 151  | 161  | 39.0821  | -94.5965 | ROOFTOP            |
| 152  | 162  | 48.7475  | -122.481 | RANGE_INTERPOLATED |
| 153  | 163  | 45.4289  | -73.6313 | APPROXIMATE        |
| 154  | 164  | 49.7185  | 5.5571   | RANGE_INTERPOLATED |
| 155  | 165  | 50.4852  | 2.8306   | APPROXIMATE        |
| 156  | 166  | 50.8431  | 3.6077   | RANGE_INTERPOLATED |
| 157  | 167  | 50.1507  | 5.7442   | RANGE_INTERPOLATED |
| 158  | 168  | 50.5593  | 4.1365   | GEOMETRIC_CENTER   |
| 159  | 170  | 50.3693  | 3.827    | GEOMETRIC_CENTER   |
| 160  | 171  | 50.5109  | 3.3883   | RANGE_INTERPOLATED |
| 161  | 173  | 49.9842  | 4.3111   | RANGE_INTERPOLATED |
| 162  | 174  | 50.3705  | 3.7263   | RANGE_INTERPOLATED |
| 163  | 175  | 50.7046  | 5.822    | GEOMETRIC_CENTER   |
| 164  | 176  | 50.7853  | 4.2437   | RANGE_INTERPOLATED |
| 165  | 177  | 50.7975  | 2.5412   | RANGE_INTERPOLATED |
| 166  | 178  | 50.2248  | 4.4102   | APPROXIMATE        |
| 167  | 179  | 50.6493  | 3.9242   | ROOFTOP            |
| 168  | 180  | -17.6797 | -149.407 | APPROXIMATE        |
| 169  | 182  | 45.7075  | 5.9153   | RANGE_INTERPOLATED |
| 170  | 183  | 47.2543  | 7.0026   | ROOFTOP            |
| 171  | 184  | 50.6204  | 3.7592   | GEOMETRIC_CENTER   |
| 172  | 185  | 48.0028  | 6.6583   | GEOMETRIC_CENTER   |
| 173  | 186  | 32.3906  | -93.3739 | RANGE_INTERPOLATED |
| 174  | 187  | 50.3114  | 4.9435   | RANGE_INTERPOLATED |
| 175  | 188  | 50.5779  | 3.5554   | RANGE_INTERPOLATED |
| 176  | 189  | 50.5718  | 3.6508   | RANGE_INTERPOLATED |
| 177  | 190  | 50.3089  | 3.6285   | APPROXIMATE        |
| 178  | 191  | 50.7428  | 3.6875   | RANGE_INTERPOLATED |
| 179  | 192  | 50.286   | 5.5127   | RANGE_INTERPOLATED |
| 180  | 193  | 50.6054  | 3.0775   | APPROXIMATE        |
| 181  | 194  | 50.408   | 4.1659   | RANGE_INTERPOLATED |
| 182  | 195  | 50.2024  | 4.8914   | RANGE_INTERPOLATED |
| 183  | 196  | 50.2601  | 3.3125   | RANGE_INTERPOLATED |
| 184  | 197  | 50.6746  | 4.1509   | RANGE_INTERPOLATED |
| 185  | 198  | 45.4682  | -73.5913 | ROOFTOP            |
| 186  | 199  | 42.6483  | 9.4529   | GEOMETRIC_CENTER   |
| 187  | 200  | 50.8851  | 2.4329   | ROOFTOP            |
| 188  | 201  | 50.3682  | 4.3266   | RANGE_INTERPOLATED |
| 189  | 202  | 50.8416  | 4.3355   | ROOFTOP            |
| 190  | 203  | 48.593   | 7.7149   | RANGE_INTERPOLATED |
| 191  | 204  | 47.6715  | 9.5888   | ROOFTOP            |
| 192  | 205  | 47.9706  | 11.7808  | ROOFTOP            |
| 193  | 206  | 53.0787  | 8.7901   | ROOFTOP            |
| 194  | 207  | 51.3055  | 8.1259   | GEOMETRIC_CENTER   |
| 195  | 208  | 49.8942  | 10.8855  | APPROXIMATE        |
| 196  | 209  | 49.9477  | 11.5659  | ROOFTOP            |
| 197  | 210  | 48.2351  | 13.8292  | ROOFTOP            |
| 198  | 211  | 47.3625  | 15.0947  | ROOFTOP            |
| 199  | 212  | 52.3935  | 9.6814   | ROOFTOP            |
| 200  | 213  | 47.8243  | 10.0239  | ROOFTOP            |
| 201  | 214  | 47.3642  | 8.5245   | ROOFTOP            |
| 202  | 216  | 47.7818  | 9.6215   | ROOFTOP            |
| 203  | 217  | 47.3301  | 9.4135   | RANGE_INTERPOLATED |
| 204  | 218  | 50.8753  | 6.9944   | ROOFTOP            |
| 205  | 219  | 47.4301  | 9.3794   | ROOFTOP            |
| 206  | 220  | 51.2216  | 6.7853   | ROOFTOP            |
| 207  | 221  | 51.2847  | 7.2936   | ROOFTOP            |
| 208  | 222  | 49.8942  | 10.8855  | APPROXIMATE        |
| 209  | 223  | 51.9657  | 7.6214   | ROOFTOP            |
| 210  | 224  | 48.1306  | 15.1386  | APPROXIMATE        |
| 211  | 225  | 48.0778  | 9.3996   | ROOFTOP            |
| 213  | 227  | 44.4105  | -95.4107 | RANGE_INTERPOLATED |
| 214  | 228  | 49.6993  | 9.2492   | ROOFTOP            |
| 215  | 229  | 51.2404  | 6.7516   | ROOFTOP            |
| 216  | 230  | 47.6651  | 9.175    | ROOFTOP            |
| 217  | 231  | 43.0646  | 141.347  | APPROXIMATE        |
| 218  | 232  | 50.9394  | 6.9594   | ROOFTOP            |
| 219  | 233  | 47.5585  | 8.9006   | ROOFTOP            |
| 220  | 234  | 47.0679  | 15.4417  | APPROXIMATE        |
| 221  | 235  | 41.254   | -95.9993 | APPROXIMATE        |
| 222  | 236  | 39.7236  | -105.001 | ROOFTOP            |
| 223  | 237  | 39.7236  | -105.001 | ROOFTOP            |
| 224  | 238  | 50.6718  | 6.122    | RANGE_INTERPOLATED |
| 225  | 239  | 41.347   | -81.8226 | ROOFTOP            |
| 226  | 240  | 37.3861  | -122.084 | APPROXIMATE        |
| 227  | 241  | 57.683   | -2.003   | APPROXIMATE        |
| 228  | 242  | 39.3028  | -76.6164 | ROOFTOP            |
| 229  | 243  | 41.4548  | -70.565  | APPROXIMATE        |
| 230  | 244  | 50.8527  | 4.3311   | GEOMETRIC_CENTER   |
| 231  | 245  | 48.9739  | 14.475   | APPROXIMATE        |
| 232  | 246  | 51.3144  | 4.989    | RANGE_INTERPOLATED |
| 233  | 247  | 42.8606  | -90.1772 | RANGE_INTERPOLATED |
| 234  | 248  | 50.853   | 4.1649   | RANGE_INTERPOLATED |
| 235  | 249  | 42.6818  | -74.9255 | RANGE_INTERPOLATED |
| 236  | 250  | 42.5847  | -87.8212 | APPROXIMATE        |
| 237  | 251  | 37.5483  | -121.989 | APPROXIMATE        |
| 238  | 254  | 42.4965  | -90.6652 | ROOFTOP            |
| 239  | 255  | 45.5311  | -122.685 | ROOFTOP            |
| 240  | 256  | 39.3628  | -77.4265 | ROOFTOP            |
| 241  | 257  | 38.8097  | -104.826 | RANGE_INTERPOLATED |
| 242  | 258  | 39.8735  | -86.1427 | RANGE_INTERPOLATED |
| 243  | 259  | 40.7215  | -73.9575 | ROOFTOP            |
| 244  | 260  | 55.6145  | -3.4107  | APPROXIMATE        |
| 245  | 261  | 52.3666  | 4.9263   | ROOFTOP            |
| 246  | 262  | 51.2974  | 4.6881   | RANGE_INTERPOLATED |
| 247  | 263  | 50.8961  | 2.7222   | RANGE_INTERPOLATED |
| 248  | 264  | 50.4431  | 4.4147   | RANGE_INTERPOLATED |
| 249  | 265  | 50.8853  | 4.7008   | RANGE_INTERPOLATED |
| 250  | 266  | 50.8628  | 3.2992   | RANGE_INTERPOLATED |
| 251  | 267  | 50.7767  | 3.2785   | RANGE_INTERPOLATED |
| 252  | 268  | 50.7123  | 4.2197   | RANGE_INTERPOLATED |
| 253  | 269  | 51.0138  | 4.2018   | RANGE_INTERPOLATED |
| 254  | 270  | 51.2986  | 5.4896   | RANGE_INTERPOLATED |
| 255  | 271  | 50.985   | 4.2226   | ROOFTOP            |
| 256  | 272  | 51.0281  | 2.9038   | ROOFTOP            |
| 257  | 273  | 51.2094  | 3.2252   | APPROXIMATE        |
| 258  | 274  | 50.9098  | 4.2505   | RANGE_INTERPOLATED |
| 259  | 110  | 51.544   | 5.1285   | RANGE_INTERPOLATED |
| 260  | 276  | 51.0228  | 4.1572   | RANGE_INTERPOLATED |
| 261  | 277  | 50.8105  | 3.1857   | RANGE_INTERPOLATED |
| 262  | 278  | 51.1968  | 3.2527   | ROOFTOP            |
| 263  | 279  | 50.971   | 4.191    | RANGE_INTERPOLATED |
| 264  | 280  | 51.2515  | 5.546    | APPROXIMATE        |
| 265  | 281  | 51.0442  | 4.3257   | APPROXIMATE        |
| 266  | 282  | 50.9882  | 5.0554   | RANGE_INTERPOLATED |
| 267  | 284  | 51.0325  | 4.473    | RANGE_INTERPOLATED |
| 268  | 286  | 50.7763  | 5.166    | RANGE_INTERPOLATED |
| 269  | 287  | 50.8439  | 3.617    | RANGE_INTERPOLATED |
| 270  | 288  | 50.818   | 4.2307   | GEOMETRIC_CENTER   |
| 271  | 290  | 50.7586  | 4.3012   | RANGE_INTERPOLATED |
| 272  | 291  | 50.9462  | 3.1362   | RANGE_INTERPOLATED |
| 273  | 292  | 50.831   | 3.6759   | RANGE_INTERPOLATED |
| 274  | 293  | 51.1168  | 5.6464   | RANGE_INTERPOLATED |
| 275  | 294  | 50.8417  | 4.0213   | RANGE_INTERPOLATED |
| 276  | 295  | 50.5018  | 4.1086   | APPROXIMATE        |
| 277  | 296  | 50.8425  | 2.6362   | RANGE_INTERPOLATED |
| 278  | 297  | 51.4439  | 4.7386   | RANGE_INTERPOLATED |
| 279  | 298  | 51.0923  | 3.01     | RANGE_INTERPOLATED |
| 280  | 299  | 51.1287  | 3.4785   | RANGE_INTERPOLATED |
| 281  | 300  | 50.8564  | 3.8845   | RANGE_INTERPOLATED |
| 282  | 301  | 50.8612  | 2.6615   | ROOFTOP            |
| 283  | 302  | 50.7778  | 4.8877   | RANGE_INTERPOLATED |
| 284  | 303  | 50.9201  | 3.2579   | RANGE_INTERPOLATED |
| 285  | 304  | 51.1766  | 3.7462   | RANGE_INTERPOLATED |
| 286  | 305  | 50.8322  | 3.3884   | RANGE_INTERPOLATED |
| 287  | 307  | 49.9622  | 20.6003  | RANGE_INTERPOLATED |
| 288  | 309  | 49.6622  | 19.1742  | ROOFTOP            |
| 289  | 310  | 45.638   | -89.4127 | RANGE_INTERPOLATED |
| 290  | 311  | 38.2554  | -85.7441 | ROOFTOP            |
| 291  | 312  | 56.0746  | 12.1161  | RANGE_INTERPOLATED |
| 292  | 313  | 42.5083  | -89.0318 | APPROXIMATE        |
| 293  | 314  | 40.1119  | -76.5031 | ROOFTOP            |
| 294  | 317  | 39.705   | -104.936 | RANGE_INTERPOLATED |
| 295  | 318  | 36.7477  | -119.772 | APPROXIMATE        |
| 296  | 319  | 41.2404  | -77.0057 | RANGE_INTERPOLATED |
| 297  | 320  | 52.056   | -2.7175  | APPROXIMATE        |
| 298  | 322  | 52.8065  | -1.6225  | GEOMETRIC_CENTER   |
| 299  | 323  | 39.7245  | -121.848 | ROOFTOP            |
| 300  | 324  | 36.7477  | -119.772 | APPROXIMATE        |
| 301  | 325  | 41.5713  | -71.0571 | RANGE_INTERPOLATED |
| 302  | 326  | 41.1607  | -104.802 | ROOFTOP            |
| 303  | 327  | 42.6542  | -73.7481 | ROOFTOP            |
| 304  | 328  | 42.1844  | -122.663 | ROOFTOP            |
| 305  | 329  | 55.9358  | -3.2297  | RANGE_INTERPOLATED |
| 306  | 330  | 35.932   | -84.012  | ROOFTOP            |
| 307  | 331  | 37.9735  | -122.531 | APPROXIMATE        |
| 308  | 332  | 32.9147  | -117.146 | ROOFTOP            |
| 309  | 333  | 42.3664  | -71.0911 | ROOFTOP            |
| 310  | 334  | 43.4745  | -79.6775 | RANGE_INTERPOLATED |
| 311  | 335  | 41.4995  | -81.6954 | APPROXIMATE        |
| 312  | 336  | 52.1344  | -106.648 | APPROXIMATE        |
| 313  | 337  | 42.6102  | -70.6664 | ROOFTOP            |
| 314  | 338  | 43.0949  | -89.5163 | ROOFTOP            |
| 315  | 339  | 38.8999  | -77.0272 | ROOFTOP            |
| 316  | 340  | 38.8411  | -77.0869 | ROOFTOP            |
| 317  | 341  | 41.126   | -73.7896 | ROOFTOP            |
| 318  | 342  | 52.8042  | -6.7295  | GEOMETRIC_CENTER   |
| 319  | 343  | 52.7196  | -6.846   | APPROXIMATE        |
| 320  | 344  | 55.6667  | 12.5393  | RANGE_INTERPOLATED |
| 321  | 345  | 56.9002  | 12.5405  | GEOMETRIC_CENTER   |
| 322  | 346  | -37.8231 | 144.967  | ROOFTOP            |
| 323  | 347  | 42.2689  | -89.0907 | ROOFTOP            |
| 324  | 348  | 36.6777  | -121.656 | APPROXIMATE        |
| 325  | 349  | 35.6231  | -80.8011 | ROOFTOP            |
| 326  | 350  | 35.9103  | -79.0632 | RANGE_INTERPOLATED |
| 327  | 351  | 37.2748  | -107.88  | ROOFTOP            |
| 328  | 352  | 43.7548  | -71.3967 | APPROXIMATE        |
| 329  | 354  | 43.649   | -72.3193 | APPROXIMATE        |
| 330  | 355  | 41.9625  | -91.6918 | APPROXIMATE        |
| 331  | 356  | 30.2672  | -97.7431 | APPROXIMATE        |
| 332  | 357  | 49.1873  | -122.85  | ROOFTOP            |
| 333  | 358  | 44.4419  | -89.2797 | ROOFTOP            |
| 334  | 359  | 14.6133  | -90.5353 | APPROXIMATE        |
| 335  | 360  | 25.7091  | -100.314 | RANGE_INTERPOLATED |
| 336  | 363  | -32.8902 | -68.844  | APPROXIMATE        |
| 337  | 364  | 37.4316  | -78.6569 | APPROXIMATE        |
| 339  | 367  | 19.7219  | -101.225 | RANGE_INTERPOLATED |
| 340  | 368  | -25.1688 | -50.1298 | GEOMETRIC_CENTER   |
| 341  | 369  | -26.8914 | -49.1223 | GEOMETRIC_CENTER   |
| 342  | 370  | 37.1875  | -3.6018  | GEOMETRIC_CENTER   |
| 343  | 371  | 35.14    | -106.6   | ROOFTOP            |
| 344  | 372  | 52.1321  | -0.4815  | GEOMETRIC_CENTER   |
| 345  | 373  | 28.2126  | -80.6734 | ROOFTOP            |
| 346  | 374  | 40.7457  | -74.0086 | GEOMETRIC_CENTER   |
| 347  | 375  | 44.8342  | -87.377  | APPROXIMATE        |
| 348  | 376  | 39.8023  | -105.084 | ROOFTOP            |
| 349  | 377  | 36.1476  | -115.298 | ROOFTOP            |
| 350  | 378  | 50.0355  | 4.3777   | GEOMETRIC_CENTER   |
| 351  | 379  | 27.9587  | -82.5093 | ROOFTOP            |
| 352  | 380  | 39.7684  | -86.158  | APPROXIMATE        |
| 353  | 339  | 43.8042  | -91.2526 | ROOFTOP            |
| 354  | 382  | 33.8575  | -117.876 | APPROXIMATE        |
| 355  | 383  | 41.4995  | -81.6994 | ROOFTOP            |
| 356  | 384  | 40.6598  | -74.283  | ROOFTOP            |
| 357  | 385  | 39.2308  | -76.6751 | ROOFTOP            |
| 358  | 386  | 50.9401  | 6.957    | ROOFTOP            |
| 359  | 387  | 35.2205  | -97.4439 | ROOFTOP            |
| 360  | 388  | 30.396   | -88.8853 | APPROXIMATE        |
| 361  | 389  | 37.0013  | -121.566 | ROOFTOP            |
| 362  | 390  | 37.978   | -122.031 | APPROXIMATE        |
| 363  | 391  | 47.6745  | -116.784 | ROOFTOP            |
| 364  | 392  | 45.4582  | -94.4291 | RANGE_INTERPOLATED |
| 365  | 393  | 42.417   | -88.074  | APPROXIMATE        |
| 366  | 394  | 42.3584  | -71.0598 | APPROXIMATE        |
| 367  | 396  | 43.3177  | -73.64   | ROOFTOP            |
| 368  | 397  | -34.8727 | 138.573  | ROOFTOP            |
| 369  | 398  | 42.5893  | -74.9403 | GEOMETRIC_CENTER   |
| 370  | 399  | 39.7599  | -105.219 | ROOFTOP            |
| 371  | 400  | 37.7273  | -89.2168 | APPROXIMATE        |
| 372  | 401  | 40.9222  | -98.3581 | APPROXIMATE        |
| 373  | 402  | 40.8942  | -77.1971 | GEOMETRIC_CENTER   |
| 374  | 403  | 43.5323  | -90.0099 | ROOFTOP            |
| 375  | 404  | 32.6976  | -117.173 | RANGE_INTERPOLATED |
| 376  | 405  | 41.537   | -71.2796 | RANGE_INTERPOLATED |
| 377  | 406  | 53.8846  | -1.2652  | APPROXIMATE        |
| 378  | 407  | 41.5855  | -93.621  | ROOFTOP            |
| 379  | 408  | 44.0886  | -87.6576 | ROOFTOP            |
| 380  | 409  | 40.2795  | -75.2143 | RANGE_INTERPOLATED |
| 381  | 410  | 40.4313  | -104.688 | RANGE_INTERPOLATED |
| 382  | 411  | 34.1696  | -118.159 | ROOFTOP            |
| 383  | 412  | 40.8069  | -96.6817 | APPROXIMATE        |
| 384  | 413  | 29.9558  | -90.0641 | ROOFTOP            |
| 385  | 414  | 38.8698  | -106.987 | RANGE_INTERPOLATED |
| 386  | 415  | 40.8726  | -74.2964 | ROOFTOP            |
| 387  | 416  | 41.4995  | -81.6954 | APPROXIMATE        |
| 388  | 417  | 40.6936  | -89.589  | APPROXIMATE        |
| 389  | 418  | 54.2912  | -0.8406  | APPROXIMATE        |
| 390  | 419  | 43.1147  | -89.6531 | ROOFTOP            |
| 391  | 420  | 31.7291  | -116.578 | GEOMETRIC_CENTER   |
| 392  | 421  | 41.8539  | -88.2776 | RANGE_INTERPOLATED |
| 393  | 422  | 38.2309  | -85.7055 | ROOFTOP            |
| 394  | 423  | 43.7076  | -70.3149 | RANGE_INTERPOLATED |
| 395  | 424  | 50.6059  | 3.3884   | APPROXIMATE        |
| 396  | 425  | 53.9999  | -1.501   | GEOMETRIC_CENTER   |
| 397  | 426  | 42.2667  | -84.9641 | RANGE_INTERPOLATED |
| 398  | 427  | 29.8994  | -90.1004 | APPROXIMATE        |
| 399  | 428  | 51.4421  | 4.9232   | RANGE_INTERPOLATED |
